,proteinName,geneName,synonyms,geneID,geneENS
P46821,Microtubule-associated protein 1B,MAP1B,[],4131,ENSG00000131711
P46934,E3 ubiquitin-protein ligase NEDD4,NEDD4,"['KIAA0093', 'NEDD4-1', 'RPF1']",4734,ENSG00000069869
P46937,Transcriptional coactivator YAP1,YAP1,['YAP65'],10413,ENSG00000137693
P46939,Utrophin,UTRN,"['DMDL', 'DRP1']",7402,ENSG00000152818
P46940,Ras GTPase-activating-like protein IQGAP1,IQGAP1,['KIAA0051'],8826,ENSG00000140575
P46976,Glycogenin-1,GYG1,['GYG'],2992,ENSG00000163754
P47211,Galanin receptor type 1,GALR1,"['GALNR', 'GALNR1']",2587,ENSG00000166573
P47710,Alpha-S1-casein,CSN1S1,"['CASA', 'CSN1']",1446,ENSG00000126545
P47712,Cytosolic phospholipase A2,PLA2G4A,"['CPLA2', 'PLA2G4']",5321,ENSG00000116711
P47736,Rap1 GTPase-activating protein 1,RAP1GAP,"['KIAA0474', 'RAP1GA1']",5909,ENSG00000076864
P47775,G-protein coupled receptor 12,GPR12,[],2835,ENSG00000132975
P47813,"Eukaryotic translation initiation factor 1A, X-chromosomal",EIF1AX,"['EIF1A', 'EIF4C']",1964,ENSG00000173674
P47869,Gamma-aminobutyric acid receptor subunit alpha-2,GABRA2,[],2555,ENSG00000151834
P47870,Gamma-aminobutyric acid receptor subunit beta-2,GABRB2,[],2561,ENSG00000145864
P47871,Glucagon receptor,GCGR,[],2642,ENSG00000288269
P47872,Secretin receptor,SCTR,[],6344,ENSG00000080293
P47883,Putative olfactory receptor 3A4,OR3A4P,"['OR3A4', 'OR3A5P']",,
P47897,Glutamine--tRNA ligase,QARS1,['QARS'],5859,ENSG00000172053
P47898,5-hydroxytryptamine receptor 5A,HTR5A,[],3361,ENSG00000157219
P47900,P2Y purinoceptor 1,P2RY1,[],5028,ENSG00000169860
P47901,Vasopressin V1b receptor,AVPR1B,"['AVPR3', 'VPR3']",553,ENSG00000198049
P47902,Homeobox protein CDX-1,CDX1,[],1044,ENSG00000113722
P47914,60S ribosomal protein L29,RPL29,[],6159,ENSG00000162244
P47928,DNA-binding protein inhibitor ID-4,ID4,['BHLHB27'],3400,ENSG00000172201
P47944,Metallothionein-4,MT4,[],84560,ENSG00000102891
P47972,Neuronal pentraxin-2,NPTX2,[],4885,ENSG00000106236
P47974,mRNA decay activator protein ZFP36L2,ZFP36L2,"['ERF2', 'RNF162C', 'TIS11D']",678,ENSG00000152518
P47985,"Cytochrome b-c1 complex subunit Rieske, mitochondrial",UQCRFS1,[],7386,ENSG00000169021
P48023,Tumor necrosis factor ligand superfamily member 6,FASLG,"['APT1LG1', 'CD95L', 'FASL', 'TNFSF6']",356,ENSG00000117560
P48029,Sodium- and chloride-dependent creatine transporter 1,SLC6A8,[],6535,ENSG00000130821
P48039,Melatonin receptor type 1A,MTNR1A,[],4543,ENSG00000168412
P48048,ATP-sensitive inward rectifier potassium channel 1,KCNJ1,['ROMK1'],3758,ENSG00000151704
P48050,Inward rectifier potassium channel 4,KCNJ4,['IRK3'],3761,ENSG00000168135
P48051,G protein-activated inward rectifier potassium channel 2,KCNJ6,"['GIRK2', 'KATP2', 'KCNJ7']",3763,ENSG00000157542
P48058,Glutamate receptor 4,GRIA4,['GLUR4'],2893,ENSG00000152578
P48065,Sodium- and chloride-dependent betaine transporter,SLC6A12,[],6539,ENSG00000111181
P48066,Sodium- and chloride-dependent GABA transporter 3,SLC6A11,"['GABT3', 'GAT3']",6538,ENSG00000132164
P48067,Sodium- and chloride-dependent glycine transporter 1,SLC6A9,[],6536,ENSG00000196517
P48145,Neuropeptides B/W receptor type 1,NPBWR1,['GPR7'],2831,ENSG00000288611
P48146,Neuropeptides B/W receptor type 2,NPBWR2,['GPR8'],2832,ENSG00000125522
P48165,Gap junction alpha-8 protein,GJA8,[],2703,ENSG00000121634
P48167,Glycine receptor subunit beta,GLRB,[],2743,ENSG00000109738
P48169,Gamma-aminobutyric acid receptor subunit alpha-4,GABRA4,[],2557,ENSG00000109158
P48200,Iron-responsive element-binding protein 2,IREB2,[],3658,ENSG00000136381
P48201,"ATP synthase F(0) complex subunit C3, mitochondrial",ATP5MC3,['ATP5G3'],518,ENSG00000154518
P48230,Transmembrane 4 L6 family member 4,TM4SF4,['ILTMP'],7104,ENSG00000169903
P48357,Leptin receptor,LEPR,"['DB', 'OBR']",3953,ENSG00000116678
P48378,DNA-binding protein RFX2,RFX2,[],5990,ENSG00000087903
P48380,Transcription factor RFX3,RFX3,[],5991,ENSG00000080298
P48382,DNA-binding protein RFX5,RFX5,[],5993,ENSG00000143390
P48426,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,PIP4K2A,"['PI5P4KA', 'PIP5K2', 'PIP5K2A']",5305,ENSG00000150867
P48431,Transcription factor SOX-2,SOX2,[],6657,ENSG00000181449
P48436,Transcription factor SOX-9,SOX9,[],6662,ENSG00000125398
P48443,Retinoic acid receptor RXR-gamma,RXRG,['NR2B3'],6258,ENSG00000143171
P48444,Coatomer subunit delta,ARCN1,['COPD'],372,ENSG00000095139
P48454,Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform,PPP3CC,"['CALNA3', 'CNA3']",5533,ENSG00000120910
P48544,G protein-activated inward rectifier potassium channel 4,KCNJ5,['GIRK4'],3762,ENSG00000120457
P48546,Gastric inhibitory polypeptide receptor,GIPR,[],2696,ENSG00000010310
P48547,Potassium voltage-gated channel subfamily C member 1,KCNC1,[],3746,ENSG00000129159
P48549,G protein-activated inward rectifier potassium channel 1,KCNJ3,['GIRK1'],3760,ENSG00000162989
P48551,Interferon alpha/beta receptor 2,IFNAR2,"['IFNABR', 'IFNARB']",3455,ENSG00000159110
P48552,Nuclear receptor-interacting protein 1,NRIP1,[],8204,ENSG00000180530
P48553,Trafficking protein particle complex subunit 10,TRAPPC10,"['EHOC1', 'TMEM1']",7109,ENSG00000160218
P48556,26S proteasome non-ATPase regulatory subunit 8,PSMD8,[],5714,ENSG00000099341
P48634,Protein PRRC2A,PRRC2A,"['BAT2', 'G2']",7916,ENSG00000226618
P48645,Neuromedin-U,NMU,[],10874,ENSG00000109255
P48651,Phosphatidylserine synthase 1,PTDSS1,"['KIAA0024', 'PSSA']",9791,ENSG00000156471
P48664,Excitatory amino acid transporter 4,SLC1A6,['EAAT4'],6511,ENSG00000105143
P48668,"Keratin, type II cytoskeletal 6C",KRT6C,['KRT6E'],286887,ENSG00000170465
P48681,Nestin,NES,[],10763,ENSG00000132688
P48723,Heat shock 70 kDa protein 13,HSPA13,['STCH'],6782,ENSG00000155304
P48728,"Aminomethyltransferase, mitochondrial",AMT,['GCST'],275,ENSG00000145020
P48730,Casein kinase I isoform delta,CSNK1D,['HCKID'],1453,ENSG00000141551
P48735,"Isocitrate dehydrogenase [NADP], mitochondrial",IDH2,[],3418,ENSG00000182054
P48736,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",PIK3CG,[],5294,ENSG00000105851
P48742,LIM/homeobox protein Lhx1,LHX1,"['LIM-1', 'LIM1']",3975,ENSG00000274577
P48745,CCN family member 3,CCN3,"['IGFBP9', 'NOV', 'NOVH']",4856,ENSG00000136999
P48751,Anion exchange protein 3,SLC4A3,['AE3'],6508,ENSG00000114923
P48764,Sodium/hydrogen exchanger 3,SLC9A3,['NHE3'],6550,ENSG00000066230
P48775,"Tryptophan 2,3-dioxygenase",TDO2,['TDO'],6999,ENSG00000262635
P48788,"Troponin I, fast skeletal muscle",TNNI2,[],7136,ENSG00000288219
P48960,Adhesion G protein-coupled receptor E5,ADGRE5,['CD97'],976,ENSG00000123146
P48995,Short transient receptor potential channel 1,TRPC1,['TRP1'],7220,ENSG00000144935
P49006,MARCKS-related protein,MARCKSL1,"['MLP', 'MRP']",65108,ENSG00000175130
P49019,Hydroxycarboxylic acid receptor 3,HCAR3,"['GPR109B', 'HCA3', 'HM74B', 'NIACR2']",8843,ENSG00000255398
P49023,Paxillin,PXN,[],5829,ENSG00000089159
P49069,Guided entry of tail-anchored proteins factor CAMLG,CAMLG,"['CAML', 'GET2']",819,ENSG00000164615
P49116,Nuclear receptor subfamily 2 group C member 2,NR2C2,"['TAK1', 'TR4']",7182,ENSG00000177463
P49137,MAP kinase-activated protein kinase 2,MAPKAPK2,[],9261,ENSG00000162889
P49146,Neuropeptide Y receptor type 2,NPY2R,[],4887,ENSG00000185149
P49190,Parathyroid hormone 2 receptor,PTH2R,['PTHR2'],5746,ENSG00000144407
P49238,CX3C chemokine receptor 1,CX3CR1,"['CMKBRL1', 'GPR13']",1524,ENSG00000168329
P49247,Ribose-5-phosphate isomerase,RPIA,['RPI'],22934,ENSG00000153574
P49257,Protein ERGIC-53,LMAN1,"['ERGIC53', 'F5F8D']",3998,ENSG00000074695
P49279,Natural resistance-associated macrophage protein 1,SLC11A1,"['LSH', 'NRAMP', 'NRAMP1']",6556,ENSG00000018280
P49281,Natural resistance-associated macrophage protein 2,SLC11A2,"['DCT1', 'DMT1', 'NRAMP2']",4891,ENSG00000110911
P49286,Melatonin receptor type 1B,MTNR1B,[],4544,ENSG00000134640
P49321,Nuclear autoantigenic sperm protein,NASP,[],4678,ENSG00000132780
P49327,Fatty acid synthase,FASN,['FAS'],2194,ENSG00000169710
P49335,"POU domain, class 3, transcription factor 4",POU3F4,"['BRN4', 'OTF9']",5456,
P49336,Cyclin-dependent kinase 8,CDK8,[],1024,ENSG00000132964
P49354,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,FNTA,[],2339,ENSG00000168522
P49406,"39S ribosomal protein L19, mitochondrial",MRPL19,"['KIAA0104', 'MRPL15']",9801,ENSG00000115364
P49407,Beta-arrestin-1,ARRB1,['ARR1'],408,ENSG00000137486
P49411,"Elongation factor Tu, mitochondrial",TUFM,[],7284,ENSG00000178952
P49418,Amphiphysin,AMPH,['AMPH1'],273,ENSG00000078053
P49419,Alpha-aminoadipic semialdehyde dehydrogenase,ALDH7A1,['ATQ1'],501,ENSG00000164904
P49427,Ubiquitin-conjugating enzyme E2 R1,CDC34,"['UBCH3', 'UBE2R1']",997,ENSG00000099804
P49441,Inositol polyphosphate 1-phosphatase,INPP1,[],3628,ENSG00000151689
P49448,"Glutamate dehydrogenase 2, mitochondrial",GLUD2,['GLUDP1'],2747,ENSG00000288118
P49450,Histone H3-like centromeric protein A,CENPA,[],1058,ENSG00000115163
P49454,Centromere protein F,CENPF,[],1063,ENSG00000117724
P49585,Choline-phosphate cytidylyltransferase A,PCYT1A,"['CTPCT', 'PCYT1']",5130,ENSG00000161217
P49590,"Histidine--tRNA ligase, mitochondrial",HARS2,"['HARSL', 'HARSR', 'HO3']",23438,ENSG00000112855
P49593,Protein phosphatase 1F,PPM1F,"['KIAA0015', 'POPX2']",9647,ENSG00000100034
P49619,Diacylglycerol kinase gamma,DGKG,['DAGK3'],1608,ENSG00000058866
P49639,Homeobox protein Hox-A1,HOXA1,['HOX1F'],3198,
P49640,Homeobox even-skipped homolog protein 1,EVX1,[],2128,ENSG00000106038
P49641,Alpha-mannosidase 2x,MAN2A2,['MANA2X'],4122,ENSG00000196547
P49643,DNA primase large subunit,PRIM2,['PRIM2A'],5558,ENSG00000146143
P49662,Caspase-4,CASP4,['ICH2'],837,ENSG00000196954
P49674,Casein kinase I isoform epsilon,CSNK1E,[],1454,ENSG00000213923
P49675,"Steroidogenic acute regulatory protein, mitochondrial",STAR,['STARD1'],6770,ENSG00000147465
P49682,C-X-C chemokine receptor type 3,CXCR3,['GPR9'],2833,ENSG00000186810
P49683,Prolactin-releasing peptide receptor,PRLHR,"['GPR10', 'GR3']",2834,ENSG00000119973
P49685,G-protein coupled receptor 15,GPR15,[],2838,ENSG00000154165
P49711,Transcriptional repressor CTCF,CTCF,[],10664,ENSG00000102974
P49715,CCAAT/enhancer-binding protein alpha,CEBPA,['CEBP'],1050,ENSG00000245848
P49716,CCAAT/enhancer-binding protein delta,CEBPD,[],1052,ENSG00000221869
P49736,DNA replication licensing factor MCM2,MCM2,"['BM28', 'CCNL1', 'CDCL1', 'KIAA0030']",4171,ENSG00000073111
P49746,Thrombospondin-3,THBS3,['TSP3'],7059,ENSG00000169231
P49747,Cartilage oligomeric matrix protein,COMP,[],1311,ENSG00000105664
P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADVL,['VLCAD'],37,ENSG00000072778
P49750,YLP motif-containing protein 1,YLPM1,"['C14orf170', 'ZAP3']",56252,ENSG00000119596
P49753,"Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT2,"['PTE2', 'PTE2A']",10965,ENSG00000119673
P49756,RNA-binding protein 25,RBM25,['RNPC7'],58517,ENSG00000119707
P49757,Protein numb homolog,NUMB,['C14orf41'],8650,ENSG00000133961
P49758,Regulator of G-protein signaling 6,RGS6,[],9628,ENSG00000182732
P49759,Dual specificity protein kinase CLK1,CLK1,['CLK'],1195,ENSG00000013441
P49760,Dual specificity protein kinase CLK2,CLK2,[],1196,ENSG00000261893
P49761,Dual specificity protein kinase CLK3,CLK3,[],1198,ENSG00000179335
P49763,Placenta growth factor,PGF,"['PGFL', 'PLGF']",5228,ENSG00000119630
P49765,Vascular endothelial growth factor B,VEGFB,['VRF'],7423,ENSG00000173511
P49767,Vascular endothelial growth factor C,VEGFC,[],7424,ENSG00000150630
P49768,Presenilin-1,PSEN1,"['AD3', 'PS1', 'PSNL1']",5663,ENSG00000080815
P49771,Fms-related tyrosine kinase 3 ligand,FLT3LG,[],2323,ENSG00000090554
P49788,Retinoic acid receptor responder protein 1,RARRES1,"['PEIG1', 'TIG1']",5918,ENSG00000118849
P49790,Nuclear pore complex protein Nup153,NUP153,[],9972,ENSG00000124789
P49792,E3 SUMO-protein ligase RanBP2,RANBP2,['NUP358'],5903,ENSG00000153201
P49795,Regulator of G-protein signaling 19,RGS19,"['GAIP', 'GNAI3IP']",10287,ENSG00000171700
P49796,Regulator of G-protein signaling 3,RGS3,[],5998,ENSG00000138835
P49798,Regulator of G-protein signaling 4,RGS4,[],5999,ENSG00000117152
P49802,Regulator of G-protein signaling 7,RGS7,[],6000,ENSG00000182901
P49810,Presenilin-2,PSEN2,"['AD4', 'PS2', 'PSNL2', 'STM2']",5664,ENSG00000143801
P49815,Tuberin,TSC2,['TSC4'],7249,ENSG00000103197
P49821,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",NDUFV1,['UQOR1'],4723,ENSG00000167792
P49840,Glycogen synthase kinase-3 alpha,GSK3A,[],2931,ENSG00000105723
P49841,Glycogen synthase kinase-3 beta,GSK3B,[],2932,ENSG00000082701
P49842,Serine/threonine-protein kinase 19,STK19,"['G11', 'RP1']",8859,ENSG00000204344
P49848,Transcription initiation factor TFIID subunit 6,TAF6,"['TAF2E', 'TAFII70']",6878,ENSG00000106290
P49862,Kallikrein-7,KLK7,"['PRSS6', 'SCCE']",5650,ENSG00000169035
P49863,Granzyme K,GZMK,['TRYP2'],3003,ENSG00000113088
P49901,Sperm mitochondrial-associated cysteine-rich protein,SMCP,"['MCS', 'MCSP']",4184,ENSG00000163206
P49902,Cytosolic purine 5'-nucleotidase,NT5C2,"['NT5B', 'NT5CP', 'PNT5']",22978,ENSG00000076685
P49910,Zinc finger protein 165,ZNF165,"['ZPF165', 'ZSCAN7']",7718,ENSG00000197279
P49913,Cathelicidin antimicrobial peptide,CAMP,"['CAP18', 'FALL39']",820,ENSG00000164047
P49915,GMP synthase [glutamine-hydrolyzing],GMPS,[],8833,ENSG00000163655
P49916,DNA ligase 3,LIG3,[],3980,ENSG00000005156
P49917,DNA ligase 4,LIG4,[],3981,ENSG00000174405
P49918,Cyclin-dependent kinase inhibitor 1C,CDKN1C,['KIP2'],1028,ENSG00000129757
P49959,Double-strand break repair protein MRE11,MRE11,"['HNGS1', 'MRE11A']",4361,ENSG00000020922
P50052,Type-2 angiotensin II receptor,AGTR2,[],186,ENSG00000180772
P50213,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,[],3419,ENSG00000166411
P50219,Motor neuron and pancreas homeobox protein 1,MNX1,['HLXB9'],3110,ENSG00000130675
P50221,Homeobox protein MOX-1,MEOX1,['MOX1'],4222,ENSG00000005102
P50222,Homeobox protein MOX-2,MEOX2,"['GAX', 'MOX2']",4223,ENSG00000106511
P50281,Matrix metalloproteinase-14,MMP14,[],4323,ENSG00000157227
P50391,Neuropeptide Y receptor type 4,NPY4R,['PPYR1'],5540,ENSG00000204174
P50402,Emerin,EMD,"['EDMD', 'STA']",2010,ENSG00000102119
P50406,5-hydroxytryptamine receptor 6,HTR6,[],3362,ENSG00000158748
P50416,"Carnitine O-palmitoyltransferase 1, liver isoform",CPT1A,['CPT1'],1374,ENSG00000110090
P50440,"Glycine amidinotransferase, mitochondrial",GATM,['AGAT'],2628,ENSG00000171766
P50443,Sulfate transporter,SLC26A2,"['DTD', 'DTDST']",1836,ENSG00000155850
P50454,Serpin H1,SERPINH1,"['CBP1', 'CBP2', 'HSP47', 'SERPINH2']",871,ENSG00000149257
P50458,LIM/homeobox protein Lhx2,LHX2,['LH2'],9355,ENSG00000106689
P50461,Cysteine and glycine-rich protein 3,CSRP3,"['CLP', 'MLP']",8048,ENSG00000129170
P50479,PDZ and LIM domain protein 4,PDLIM4,['RIL'],8572,ENSG00000131435
P50502,Hsc70-interacting protein,ST13,"['AAG2', 'FAM10A1', 'HIP', 'SNC6']",6767,ENSG00000100380
P50539,Max-interacting protein 1,MXI1,['BHLHC11'],4601,ENSG00000119950
P50542,Peroxisomal targeting signal 1 receptor,PEX5,['PXR1'],5830,ENSG00000139197
P50548,ETS domain-containing transcription factor ERF,ERF,[],2077,ENSG00000105722
P50549,ETS translocation variant 1,ETV1,['ER81'],2115,ENSG00000006468
P50552,Vasodilator-stimulated phosphoprotein,VASP,[],7408,ENSG00000125753
P50553,Achaete-scute homolog 1,ASCL1,"['ASH1', 'BHLHA46', 'HASH1']",429,ENSG00000139352
P50570,Dynamin-2,DNM2,['DYN2'],1785,ENSG00000079805
P50579,Methionine aminopeptidase 2,METAP2,"['MNPEP', 'P67EIF2']",10988,ENSG00000111142
P50591,Tumor necrosis factor ligand superfamily member 10,TNFSF10,"['APO2L', 'TRAIL']",8743,ENSG00000121858
P50607,Tubby protein homolog,TUB,[],7275,ENSG00000166402
P50613,Cyclin-dependent kinase 7,CDK7,"['CAK', 'CAK1', 'CDKN7', 'MO15', 'STK1']",1022,ENSG00000277273
P50616,Protein Tob1,TOB1,"['TOB', 'TROB1']",10140,ENSG00000141232
P50747,Biotin--protein ligase,HLCS,[],3141,ENSG00000159267
P50748,Kinetochore-associated protein 1,KNTC1,['KIAA0166'],9735,ENSG00000184445
P50749,Ras association domain-containing protein 2,RASSF2,"['CENP-34', 'KIAA0168']",9770,ENSG00000101265
P50750,Cyclin-dependent kinase 9,CDK9,"['CDC2L4', 'TAK']",1025,ENSG00000136807
P50851,Lipopolysaccharide-responsive and beige-like anchor protein,LRBA,"['BGL', 'CDC4L', 'LBA']",987,ENSG00000198589
P50876,E3 ubiquitin-protein ligase RNF144A,RNF144A,"['KIAA0161', 'RNF144', 'UBCE7IP4']",9781,ENSG00000151692
P50895,Basal cell adhesion molecule,BCAM,"['LU', 'MSK19']",4059,ENSG00000187244
P50914,60S ribosomal protein L14,RPL14,[],9045,ENSG00000188846
P50991,T-complex protein 1 subunit delta,CCT4,"['CCTD', 'SRB']",10575,ENSG00000115484
P50993,Sodium/potassium-transporting ATPase subunit alpha-2,ATP1A2,['KIAA0778'],477,ENSG00000018625
P50995,Annexin A11,ANXA11,['ANX11'],311,ENSG00000122359
P51003,Poly(A) polymerase alpha,PAPOLA,['PAP'],10914,ENSG00000090060
P51114,RNA-binding protein FXR1,FXR1,[],8087,ENSG00000114416
P51116,RNA-binding protein FXR2,FXR2,['FMR1L2'],9513,ENSG00000129245
P51148,Ras-related protein Rab-5C,RAB5C,['RABL'],5878,ENSG00000108774
P51153,Ras-related protein Rab-13,RAB13,[],5872,ENSG00000143545
P51157,Ras-related protein Rab-28,RAB28,[],9364,ENSG00000157869
P51159,Ras-related protein Rab-27A,RAB27A,['RAB27'],5873,ENSG00000069974
P51160,"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'",PDE6C,['PDEA2'],5146,ENSG00000095464
P51168,Amiloride-sensitive sodium channel subunit beta,SCNN1B,[],6338,ENSG00000168447
P51170,Amiloride-sensitive sodium channel subunit gamma,SCNN1G,[],6340,ENSG00000166828
P51172,Amiloride-sensitive sodium channel subunit delta,SCNN1D,['DNACH'],6339,ENSG00000162572
P51397,Death-associated protein 1,DAP,['DAP1'],1611,ENSG00000112977
P51398,"28S ribosomal protein S29, mitochondrial",DAP3,['MRPS29'],7818,ENSG00000132676
P51449,Nuclear receptor ROR-gamma,RORC,"['NR1F3', 'RORG', 'RZRG']",6097,ENSG00000143365
P51451,Tyrosine-protein kinase Blk,BLK,[],640,ENSG00000136573
P51460,Insulin-like 3,INSL3,"['RLF', 'RLNL']",3640,ENSG00000248099
P51504,Zinc finger protein 80,ZNF80,[],7634,ENSG00000174255
P51508,Zinc finger protein 81,ZNF81,[],347344,ENSG00000197779
P51511,Matrix metalloproteinase-15,MMP15,[],4324,ENSG00000102996
P51512,Matrix metalloproteinase-16,MMP16,"['C8orf57', 'MMPX2']",4325,ENSG00000156103
P51513,RNA-binding protein Nova-1,NOVA1,[],4857,ENSG00000139910
P51522,Zinc finger protein 83,ZNF83,['ZNF816B'],55769,ENSG00000167766
P51523,Zinc finger protein 84,ZNF84,[],7637,ENSG00000198040
P51530,DNA replication ATP-dependent helicase/nuclease DNA2,DNA2,"['DNA2L', 'KIAA0083']",1763,ENSG00000138346
P51531,Probable global transcription activator SNF2L2,SMARCA2,"['BAF190B', 'BRM', 'SNF2A', 'SNF2L2']",6595,ENSG00000080503
P51532,Transcription activator BRG1,SMARCA4,"['BAF190A', 'BRG1', 'SNF2B', 'SNF2L4']",6597,ENSG00000127616
P51553,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",IDH3G,[],3421,ENSG00000067829
P51582,P2Y purinoceptor 4,P2RY4,['NRU'],5030,ENSG00000186912
P51587,Breast cancer type 2 susceptibility protein,BRCA2,"['FACD', 'FANCD1']",675,ENSG00000139618
P51608,Methyl-CpG-binding protein 2,MECP2,[],4204,ENSG00000169057
P51610,Host cell factor 1,HCFC1,"['HCF1', 'HFC1']",3054,ENSG00000172534
P51617,Interleukin-1 receptor-associated kinase 1,IRAK1,['IRAK'],3654,ENSG00000184216
P51636,Caveolin-2,CAV2,[],858,ENSG00000105971
P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial",ALDH5A1,['SSADH'],7915,ENSG00000112294
P51654,Glypican-3,GPC3,['OCI5'],2719,ENSG00000147257
P51659,Peroxisomal multifunctional enzyme type 2,HSD17B4,"['EDH17B4', 'SDR8C1']",3295,ENSG00000133835
P51677,C-C chemokine receptor type 3,CCR3,['CMKBR3'],1232,ENSG00000183625
P51679,C-C chemokine receptor type 4,CCR4,['CMKBR4'],1233,ENSG00000183813
P51681,C-C chemokine receptor type 5,CCR5,['CMKBR5'],1234,ENSG00000160791
P51684,C-C chemokine receptor type 6,CCR6,"['CKRL3', 'CMKBR6', 'GPR29', 'STRL22']",1235,ENSG00000112486
P51685,C-C chemokine receptor type 8,CCR8,"['CKRL1', 'CMKBR8', 'CMKBRL2']",1237,ENSG00000179934
P51686,C-C chemokine receptor type 9,CCR9,['GPR28'],10803,ENSG00000173585
P51687,"Sulfite oxidase, mitochondrial",SUOX,[],6821,ENSG00000139531
P51689,Arylsulfatase D,ARSD,[],414,ENSG00000006756
P51690,Arylsulfatase L,ARSL,['ARSE'],415,ENSG00000157399
P51692,Signal transducer and activator of transcription 5B,STAT5B,[],6777,ENSG00000173757
P51693,Amyloid beta precursor like protein 1,APLP1,[],333,ENSG00000105290
P51784,Ubiquitin carboxyl-terminal hydrolase 11,USP11,['UHX1'],8237,ENSG00000102226
P51786,Zinc finger protein 157,ZNF157,[],7712,ENSG00000147117
P51787,Potassium voltage-gated channel subfamily KQT member 1,KCNQ1,"['KCNA8', 'KCNA9', 'KVLQT1']",3784,ENSG00000053918
P51788,Chloride channel protein 2,CLCN2,[],1181,ENSG00000114859
P51790,H(+)/Cl(-) exchange transporter 3,CLCN3,[],1182,ENSG00000109572
P51793,H(+)/Cl(-) exchange transporter 4,CLCN4,[],1183,ENSG00000073464
P51795,H(+)/Cl(-) exchange transporter 5,CLCN5,['CLCK2'],1184,ENSG00000171365
P51797,H(+)/Cl(-) exchange transporter 6,CLCN6,['KIAA0046'],1185,ENSG00000011021
P51798,H(+)/Cl(-) exchange transporter 7,CLCN7,[],1186,ENSG00000103249
P51800,Chloride channel protein ClC-Ka,CLCNKA,[],1187,ENSG00000186510
P51801,Chloride channel protein ClC-Kb,CLCNKB,[],1188,ENSG00000184908
P51805,Plexin-A3,PLXNA3,"['PLXN4', 'SEX']",55558,ENSG00000130827
P51810,G-protein coupled receptor 143,GPR143,['OA1'],4935,ENSG00000101850
P51811,Endoplasmic reticulum membrane adapter protein XK,XK,"['XKR1', 'XRG1']",7504,ENSG00000047597
P51812,Ribosomal protein S6 kinase alpha-3,RPS6KA3,"['ISPK1', 'MAPKAPK1B', 'RSK2']",6197,ENSG00000177189
P51813,Cytoplasmic tyrosine-protein kinase BMX,BMX,[],660,ENSG00000102010
P51814,Zinc finger protein 41,ZNF41,[],7592,ENSG00000147124
P51815,Zinc finger protein 75D,ZNF75D,"['ZNF75', 'ZNF82']",7626,ENSG00000186376
P51816,AF4/FMR2 family member 2,AFF2,"['FMR2', 'OX19']",2334,ENSG00000155966
P51817,cAMP-dependent protein kinase catalytic subunit PRKX,PRKX,['PKX1'],5613,ENSG00000183943
P51825,AF4/FMR2 family member 1,AFF1,"['AF4', 'FEL', 'MLLT2', 'PBM1']",4299,ENSG00000172493
P51826,AF4/FMR2 family member 3,AFF3,['LAF4'],3899,ENSG00000144218
P51828,Adenylate cyclase type 7,ADCY7,['KIAA0037'],113,ENSG00000121281
P51841,Retinal guanylyl cyclase 2,GUCY2F,"['GUC2F', 'RETGC2']",2986,ENSG00000101890
P51843,Nuclear receptor subfamily 0 group B member 1,NR0B1,"['AHC', 'DAX1']",190,ENSG00000169297
P51858,Hepatoma-derived growth factor,HDGF,['HMG1L2'],3068,ENSG00000143321
P51861,Cerebellar degeneration-related antigen 1,CDR1,[],1038,
P51864,Putative teratocarcinoma-derived growth factor 3,TDGF1P3,"['CRIPTO3', 'TDGF2', 'TDGF3']",,ENSG00000225366
P51878,Caspase-5,CASP5,['ICH3'],838,ENSG00000137757
P51884,Lumican,LUM,"['LDC', 'SLRR2D']",4060,ENSG00000139329
P51888,Prolargin,PRELP,['SLRR2A'],5549,ENSG00000188783
P51911,Calponin-1,CNN1,[],1264,ENSG00000130176
P51946,Cyclin-H,CCNH,[],902,ENSG00000134480
P51948,CDK-activating kinase assembly factor MAT1,MNAT1,"['CAP35', 'MAT1', 'RNF66']",4331,ENSG00000020426
P51955,Serine/threonine-protein kinase Nek2,NEK2,"['NEK2A', 'NLK1']",4751,ENSG00000117650
P51956,Serine/threonine-protein kinase Nek3,NEK3,[],4752,ENSG00000136098
P51957,Serine/threonine-protein kinase Nek4,NEK4,['STK2'],6787,ENSG00000114904
P51959,Cyclin-G1,CCNG1,"['CCNG', 'CYCG1']",900,ENSG00000113328
P51965,Ubiquitin-conjugating enzyme E2 E1,UBE2E1,['UBCH6'],7324,ENSG00000170142
P51991,Heterogeneous nuclear ribonucleoprotein A3,HNRNPA3,['HNRPA3'],220988,ENSG00000170144
